status,price,bed,bath,acre_lot,full_address,street,city,state,zip_code,house_size,sold_date,Lat,Long,formatted_address,location_type
for_sale,1675000,1,1,0.06,"79 Barrow St Apt 6C, New York City, NY, 10014",79 Barrow St Apt 6C,New York City,New York,10014,,,40.7313911,-74.0059008,"79 Barrow St #6c, New York, NY 10014, USA",ROOFTOP
for_sale,1875000,2,2,,"50 Park Ave # B, New York City, NY, 10016",50 Park Ave # B,New York City,New York,10016,,,40.7493387,-73.9803235,"50 Park Ave b, New York, NY 10016, USA",ROOFTOP
for_sale,765000,1,1,0.11,"26-14 28th St Unit 4B, New York City, NY, 11102",26-14 28th St Unit 4B,New York City,New York,11102,601,7/17/2017,40.770517,-73.92144,"26-14 28th St #4b, Queens, NY 11102, USA",ROOFTOP
for_sale,2545000,2,2,0.03,"185 Grand St Apt 4D, New York City, NY, 10013",185 Grand St Apt 4D,New York City,New York,10013,1143,,40.7144322,-73.9607567,"185 Grand St #4d, Brooklyn, NY 11211, USA",ROOFTOP
for_sale,2749000,4,5,,"5 Hampton Pl, New York City, NY, 11213",5 Hampton Pl,New York City,New York,11213,3396,11/27/2018,40.6726258,-73.9405975,"5 Hampton Pl, Brooklyn, NY 11213, USA",ROOFTOP
for_sale,595000,1,1,,"25 Tudor City Pl Apt 1111, New York City, NY, 10017",25 Tudor City Pl Apt 1111,New York City,New York,10017,,10/5/2015,40.7484484,-73.9706936,"25 Tudor City Pl Apt 1111, New York, NY 10017, USA",ROOFTOP
for_sale,625000,1,1,,"317 E 18th St Apt 6A, New York City, NY, 10003",317 E 18th St Apt 6A,New York City,New York,10003,,7/9/2008,40.7346548,-73.982112,"317 E 18th St #6a, New York, NY 10003, USA",ROOFTOP
for_sale,735000,1,1,0.05,"299 Henry Unit D1-4th St # #flr, New York City, NY, 11201",299 Henry Unit D1-4th St # #flr,New York City,New York,11201,,,40.6728165,-73.9850787,"4th St, Brooklyn, NY, USA",GEOMETRIC_CENTER
for_sale,395000,1,1,,"854 W 181st St Apt 3H, New York City, NY, 10033",854 W 181st St Apt 3H,New York City,New York,10033,,9/29/2016,40.8511379,-73.9399545,"854 W 181st St #3h, New York, NY 10033, USA",ROOFTOP
for_sale,788000,1,1,,"170 E 87th St Unit E16, New York City, NY, 10128",170 E 87th St Unit E16,New York City,New York,10128,689,11/17/1999,40.7795712,-73.9540221,"170 E 87th St e16, New York, NY 10128, USA",ROOFTOP
for_sale,860000,1,1,,"5-19 Borden Ave Unit 3F, New York City, NY, 11101",5-19 Borden Ave Unit 3F,New York City,New York,11101,689,11/2/2016,40.7417859,-73.9558663,"5-19 Borden Ave #3f, Long Island City, NY 11101, USA",ROOFTOP
for_sale,4100000,3,3,0.16,"32 W 18th St Apt 2A, New York City, NY, 10011",32 W 18th St Apt 2A,New York City,New York,10011,3007,7/25/2012,40.7390659,-73.9937922,"32 W 18th St #2a, New York, NY 10011, USA",ROOFTOP
for_sale,1695000,3,2,3.51,"1623-1641 3rd Ave Unit 35H, New York City, NY, 10128",1623-1641 3rd Ave Unit 35H,New York City,New York,10128,1162,,40.7819416,-73.9506314,"1623 3rd Ave #35h, New York, NY 10128, USA",ROOFTOP
for_sale,725000,2,1,,"64 Macdougal St Apt 8, New York City, NY, 10012",64 Macdougal St Apt 8,New York City,New York,10012,,2/6/2015,40.7278259,-74.0021323,"64 MacDougal St Apt 8, New York, NY 10012, USA",ROOFTOP
for_sale,479000,1,1,,"345 E 77th St Apt 2D, New York City, NY, 10075",345 E 77th St Apt 2D,New York City,New York,10075,,5/2/2018,40.7714227,-73.9542156,"345 E 77th St #2d, New York, NY 10075, USA",ROOFTOP
for_sale,12995000,4,4,0.02,"40 Leroy St, New York City, NY, 10014",40 Leroy St,New York City,New York,10014,3650,7/27/2018,40.7303011,-74.0043399,"40 Leroy St, New York, NY 10014, USA",ROOFTOP
for_sale,389000,1,1,,"77 Park Ter E Apt D16, New York City, NY, 10034",77 Park Ter E Apt D16,New York City,New York,10034,,,40.871051,-73.916134,"77 Park Terrace E d16, New York, NY 10034, USA",ROOFTOP
for_sale,775000,1,1,,"135 Division St Apt 7B, New York City, NY, 10002",135 Division St Apt 7B,New York City,New York,10002,,11/16/2009,40.7143903,-73.9911526,"135 Division St #7b, New York, NY 10002, USA",ROOFTOP
for_sale,1850000,,,0.04,"New York City, NY, 11368",,New York City,New York,11368,3350,,40.7506343,-73.8477874,"Corona, NY 11368, USA",APPROXIMATE
for_sale,6250000,3,3,0.02,"58 Downing St, New York City, NY, 10014",58 Downing St,New York City,New York,10014,2661,11/3/2017,40.7289147,-74.0046383,"58 Downing St, New York, NY 10014, USA",ROOFTOP
for_sale,570000,,1,,"111 Montgomery St Apt 4D, New York City, NY, 11225",111 Montgomery St Apt 4D,New York City,New York,11225,480,,40.6666793,-73.9609528,"111 Montgomery St #4d, Brooklyn, NY 11225, USA",ROOFTOP
for_sale,7360000,4,4,,"66 Reade St Unit 3, New York City, NY, 10007",66 Reade St Unit 3,New York City,New York,10007,3215,,40.7151591,-74.006685,"66 Reade St #3, New York, NY 10007, USA",ROOFTOP
for_sale,3750000,4,3,,"545 W End Ave Apt 16A, New York City, NY, 10024",545 W End Ave Apt 16A,New York City,New York,10024,,,40.7892103,-73.9780213,"545 West End Ave #16a, New York, NY 10024, USA",ROOFTOP
for_sale,895000,1,1,,"306 Gold St Apt 10F, New York City, NY, 11201",306 Gold St Apt 10F,New York City,New York,11201,779,3/2/2010,40.6950751,-73.9835386,"306 Gold St #10f, Brooklyn, NY 11201, USA",ROOFTOP
